#,Action,New,Description,Parameters,Control Required, Example(Values)
1,ABORT,-,Aborts automation run,None,No,Value not Required
2,BACK,-,Performs Back action to navigate to previous page,None,No,Value not Required
3,BREAK,-,Breaks out of a reusable component,None,No,Value not Required
4,CAPTURE_FIELD_VALUE_VAR,*,Reports text field value using a dynamic field name,Dynamic field name,Yes,City/State/ZIP Code
5,CHECK,*,Checks check box,Yes or No,Yes,Yes or No
6,CHECK_BUTTON_BY_TEXT_EXIST,-,checks a button by button name exists,Button name,No,Update
7,CHECK_BUTTON_BY_TEXT_NOT_EXIST,-,checks a button by button name not exist,Button name,No,Save
8,CHECK_BUTTON_SELECTED_STATE,-,Checks a button state by button name,Button name{P}1 or 0,No,Active{P}1 or 0
9,CHECK_BY_TEXT,-,Checks for a specific text,Text,Yes,Hello World
10,CHECK_DIC_VALUE_EQUAL,-,Checks a dictionary integer value is equal to a specific integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
11,CHECK_DIC_VALUE_GREATER_EQUAL_THAN,-,Checks a dictionary integer value is greater than or equal to an expected integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
12,CHECK_DIC_VALUE_GREATER_THAN,-,Checks a dictionary integer value is greater than an expected integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
13,CHECK_DIC_VALUE_LESS_EQUAL_THAN,-,Checks a dictionary integer value is less than or equal to a specific integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
14,CHECK_DIC_VALUE_LESS_THAN,-,Checks a dictionary integer value is less than a specific integer value,Dictionary Parameter name{P}Integer value,No,Index{P}1
15,CHECK_ELEMENT_BY_TEXT_DISABLED,-,Checks element found by text is disabled,Text,Yes,Hello World
16,CHECK_ELEMENT_BY_TEXT_ENABLED,-,Checks element found by text is enabled,Text,Yes,Hello World
17,CHECK_ELEMENT_BY_TEXT_NOT_VISIBLE,-,Checks an element found by text is not visible,Text,Yes,Hello World
18,CHECK_ELEMENT_BY_TEXT_VISIBLE,-,Checks an element found by text is visible,Text,Yes,Hello World
19,CHECK_ELEMENT_DISABLED,-,Checks element disabled,None,Yes,Value not Required
20,CHECK_ELEMENT_ENABLED,-,Checks element enabled,None,Yes,Value not Required
21,CHECK_ELEMENT_EXIST,-,Checks an element exists,None,Yes,Value not Required
22,CHECK_ELEMENT_MATCH_VALUE,-,Validates an element value matches expected,Expected value,Yes,Hello World
23,CHECK_ELEMENT_NOT_EXIST,-,Checks an element does not exist,None,Yes,Value not Required
24,CHECK_ELEMENT_NOT_VISIBLE,-,Checks an element is not visible,None,Yes,Value not Required
25,CHECK_ELEMENT_NOT_VISIBLE_VAR,-,Checks an element is not visible using variable text,Variable text,Yes,hello world
26,CHECK_ELEMENT_VISIBLE,-,Checks an element is visible,None,Yes,Value not Required
27,CHECK_MATCH_VALUE,-,Matches expected value to an actual value,Expected{P}Actual,No,Apples{P}Oranges
28,CHECK_STR_START_WITH,*,Validates a string starts with a specified character,Specified character,No,Hello world{P}H
29,CHECK_VALUE_LESS_EQUAL_THAN,*,Checks an integer value is less than or equal to another integer value,Integer value1{P}Integer value2,No,
30,CHECK_VALUE_LESS_THAN,*,Checks an integer value is less than another integer value,Integer value1{P}Integer value2,No,
31,CHECK_VALUES_EQUAL,*,Checks for matching strings,Value1{P}Value2,No,3{P}3
32,CHECK_WINDOW_COUNT,-,Validates the number of current windows matches expected count,Expected number of windows,No,3
33,CLEAR_TEXT,-,Clears a text field,None,Yes,Value not Required
34,CLICK,-,Clicks an element,None,Yes,Value not Required
35,CLICK_AND_SWITCH,-,Clicks an element on a child window then switches to parent window,None,Yes,Value not Required
36,CLICK_AND_WAIT,-,Clicks an element and wait in seconds,Seconds,Yes,2
37,CLICK_BUTTON_BY_TEXT,-,Clicks button by button name,Button name,No,Save
38,CLICK_BUTTON_BY_TEXT_WHILE_VISIBLE,-,Clicks button by button name while it is visible,Button name{C}optional timeout,No,Save{C}3
39,CLICK_BY_INDEX,-,Clicks by Index,Index,No,Index
40,CLICK_CELL,-,Clicks a table cell,Column name{P}RowIndex,Yes,Asset ID{P}1
41,CLICK_CELL_LINK,-,Clicks a link in a table cell,Column name{P}RowIndex,Yes,Asset ID{P}1
42,CLICK_CELL_LINK_SWITCH,-,Clicks a link in a table cell then switches to Parent Window,Column name{P}RowIndex,Yes,Asset ID{P}1
43,CLICK_CELL_LINK_SWITCH1,-,Clicks a link in a table cell then switches to Parent Window,Column name{P}RowIndex,Yes,Asset ID{P}1
44,CLICK_CELL_RELATIVE,-,Clicks CELL Relative instead of Center,Column name{P}RowIndex,Yes,Asset ID{P}1
45,CLICK_COLUMN_RIGHT_VAR,*,Clicks right key a specified count using a specified column name,Column name{P}No. of Right keys,Yes,Order Quantity{P}30
46,CLICK_COUNT,-,Clicks an element a number of times,Click count,Yes,3
47,CLICK_ELEMENT,-,Clicks an element by its x and y,None,Yes,Value not Required
48,CLICK_ELEMENT_BY_TEXT,-,Clicks an element found by text,Text,Yes,Hello World
49,CLICK_ELEMENT_WHILE_TEXT_NOT_VISIBLE,-,Clicks an element while another specified text is not visible,Other Element,Yes,Element Page{C}Element Label
50,CLICK_FIELD_VAR,*,Clicks a text field using a dynamic field name,Dynamic field name,Yes,City/State/ZIP Code
51,CLICK_LINK,-,Clicks a link,Link Text,No,Link text
52,CLICK_MODIFIED_VALUE,-,Modifies an element attribute value by replacing ### with the user defined value,user defined value,No,Value not Required
53,CLICK_ON_TEXT,-,Clicks on text found on page,Text,No,Hello World
54,CLICK_RELATIVE,-,Clicks an element not on the center avoiding black pop up boxes,None,Yes,Value not Required
55,CLICK_TAB_TEXT,-,Clicks tab caption text,Tab Text > Spaces separated by forward slashes,No,Onsite/Devices
56,CLICK_TAB_VAR,*,Clicks Tab by defined value,None,No,Value not Required
57,CLICK_TEXT,-,Clicks an element found by a specific text,Text,No,Hello World
58,CLICK_TEXT_VAR,*,Clicks a text by user defined value,XYZ,No,XYZ
59,CLICK_UNTIL_NEW_WINDOW,-,Clicks an element until a new window is visible,None,Yes,Value not Required
60,CLICK_VAR,*,Clicks an element that has a variant value that could be changed run time,Variant value,Yes,Age
61,CLICK_WHILE_ELEMENT_NOT_VISIBLE,-,Clicks an element while another element is not visible,Other Element,Yes,Element Page{C}Element Label
62,CLICK_WHILE_ELEMENT_VISIBLE,-,Clicks an element while another element is visible,Other Element,Yes,Value not Required
63,CLICK_WHILE_TEXT_NOT_VISIBLE,-,Clicks an element until text is visible,Text to be visible,Yes,Text value
64,CLICK_WHILE_VISIBLE,-,Clicks an element while it is visible,None,Yes,Value not Required
65,CLICK_WHILE_VISIBLE_VAR,*,Clicks an element while it is visible using a variable value,variable value,Yes,variable value or button name
66,CLOSE,-,Closes the current page,None,No,Value not Required
67,COLLECT AUTEP,-,Collects element ids names and classes into a HTML file,Name tags delimited by colons,No,Value not Required
68,COLLECT BARCHART TIPS,*,Collects Bar chart ToolTip Value by passed defined value,None,No,Value not Required
69,COLLECT_CELL_VALUE,-,Collect a cell value into a specified Global Variable,Column name{P}RowIndex{P}GV Name,Yes,FirstName{P}2{P}FirstNameRow2
70,COLLECT_CHART_TOOLTPS_VAR,*,Collects Chart ToolTip Value by passed defined value,Defined value,No,Value not Required
71,COLLECT_FULL_PIE_CHART_TOOLTIPS_VAR,-,Collects full chart ToolTip Value by passed defined value,None,No,Value not Required
72,COLLECT_LOCATION_X,-,Collects an element x location into a global variable,Global Variable name,Yes,Location x
73,COLLECT_ROW_INDEX,-,Collects a Global value RowIndex given a row value under a specific table column name,Column name{P}column Row value,Yes,Agiliti Asset ID{P}504986
74,COLLECT_TEXT_VAR,*,Collects/Stores an element text that has a variant value that could be changed run time into (Collect Param Name),Variant value,Yes,Hello world
75,COMPARE_DATES,-,Compares Dates,Date1{P}Date2,No,03-02-2021{P}03-02-2021
76,COMPARE_TWO_LISTS,*,Compares 2 Lists are matching,List1{P}List2,No,Apple{P}Orange
77,COMPARE_VALUES,-,Compares expected value to actual value,Expected{P}Actual,No,Apple{P}Orange
78,COMPARE_VALUES_NOT,-,Compares expected value to actual value,Expected{P}Actual,No,Apple{P}Orange
79,COMPARE_WITHIN_TOLERANCE,*,Compares integer values within given +-tolerance,Integer value1{P}Integer value2,No,2{P}3
80,CONCATENATE_ELEMENTS_VALUES,-,Collects a number of element values into a string to be stored in a dictionary parameter to use in subsequent steps,Dictionary parameter{P}Page{P}element label1{C}element label2,No,Address{P}page name{P}element1{C}element2{C}element3
81,CONCATENATE_VALUES,-,Concatenates strings into a Global variable using specific delimiter,Global Parameter{P}Delimiter{P}str1{C}str2{C}...,No,FullName{P}Delimiter{P}FirstName{C}LastName{C}Address
82,DCLICK_CELL,-,Double Clicks a table cell,Column name{P}RowIndex,Yes,Asset ID{P}1
83,DCLICK_CELL_RELATIVE,-,Double Click CELL Relative instead of Center,Column name{P}RowIndex,Yes,Asset ID{P}1
84,DCLICK_TABLE_CELL,-,Double Clicks a table cell,Column name{P}RowIndex,Yes,Asset ID{P}1
85,DIALOG,-,Displays a specific value in dialog box,Message to display,No,Hello World
86,DISPLAY_CURRENT_WINDOW,-,Displays current window handle,None,No,Value not Required
87,DISPLAY_READONLY,-,Reports the read only text fields;check boxes and drop down elements,None,No,Value not Required
88,ELEMENT_ACTION,*,Uses the stored element to apply an action against it,Element action{P}Possible action value,No,TEXT{P}Hello world
89,ELEMENT_EXISTS,-,Validate element exists,None,Yes,Value not Required
90,ELEMENT_EXISTS_TIME,-,Waits for an element to exists within a number of seconds,Milliseconds,Yes,5
91,ENTER_CURRENT_MONTH_FIRSTDAY,-,Enters current Month first day into a text field,None,Yes,Value not Required
92,ENTER_LAST_MONTH_LASTDAY,-,Enters Last Month Last Day into a text field,None,Yes,Value not Required
93,ENTER_MODIFIED_DATE,-,Modifies current date by days;months and years to enter to a text field,Days{P}Months{P}Years,Yes,2{P}3{P}1
94,F5,-,Refreshes current page,None,No,Value not Required
95,FAILED_RC,*,Quits Reusable component run,XYZ,No,XYZ
96,FILTER_TABLE_BY_SEARCH_TERM,-,Waits for a specific element to be visible to Enter text into it,Text,Yes,Hello World
97,GET_CELL_VALUE,-,Collect a cell value into a global variable (Cell Value),Global Variable,Yes,Global variable name
98,GET_GV,-,Gets a dictionary parameter value into a global variable,Dictionary parameter name,Yes,Application name
99,GET_LIST_OPTION_TEXT,-,Stores a multi-list option text into a global variable,Global Variable Parameter{P}Option Index,Yes,Device{P}1
100,GET_PARAM_VALUE,-,Gets a global value with from the global file,Parameter name,Yes,Asset ID
101,GET_ROW_COUNT,-,Collects Table Row Count using a table element into the global variable (Table Row Count),None,Yes,Value not Required
102,GET_TEXT,-,Stores an element Text into a global variable,None,Yes,Value not Required
103,GET_TEXT_VAR,-,Stores an element Text into a global variable,None,Yes,Value not Required
104,GET_VALUE,-,Stores an element value into a global variable,Global Variable name,Yes,Value not Required
105,GET_VALUE_VAR,-,Stores an element value into a global variable,None,Yes,Value not Required
106,INCBY_GV,-,Increments an integer value found in dictionary,Dictionary value{P}Increment by,No,Index{P}2
107,JS_CLICK,*,Clicks an element using JavaScript code,None,Yes,Value not Required
108,LOAD,-,Navigates to a specific URL,URL,No,https{C}//agilitiqa.service-now.com/login.do
109,MAXIMIZE,-,Maximizes Window,None,No,Value not Required
110,MOBILE_CLICK,-,Clicks an element in Mobile,None,Yes,Value not Required
111,MOBILE_START_AUTOMATION,-,Starts mobile automation,None,No,Value not Required
112,MOBILE_STOP_AUTOMATION,-,Stops mobile automation,None,No,Value not Required
113,MOBILE_VALIDATE_VALUE,-,Validates value in mobile,Value to validate,Yes,hello world
114,MODIFY_DATE_BY,-,Modifies Date in Element by Day:Month:Year,Day{C}Month{C}Year,Yes,-1{C}0{C}1
115,MOVE_ELEMENT_TO,*,Drags an element to x & y coordinates,X{P}Y,Yes,100{P}150
116,MOVE_ELEMENT_TO_ELEMENT,*,Drags a source element over a target element,Target element,Yes,target element by page{C}label
117,MOVE_MOUSE,-,Moves the mouse to a specific coordinates,None,No,Value not Required
118,MOVE_MOUSE_CLICK,*,Moves the mouse to a specific coordinates and click,x{C}Y,No,5{C}8
119,MOVE_MOUSE_DELAY,*,Moves the mouse to a specific coordinates,x{C}Y,No,5{C}8
120,MULTI_SELECT,-,Selects items from a multi list element,Items delimited by colons,Yes,one{P}two{P}three
121,NOT_SELECTED,-,Validates that a check box or a radio button are not selected,None,Yes,Value not Required
122,REFRESH,-,Refreshes current page,None,No,Value not Required
123,REMOVE_PRECEDING_ZEROS,-,Updates a string by replacing a portion of it,String{P}Replace From{P}Replace To,No,ABC{P}A{P}B
124,REPLACE_STR,-,Updates a string by replacing a portion of it,String{P}Replace From{P}Replace To,No,ABC{P}A{P}B
125,REPORT,-,Updates a string by replacing a portion of it,String{P}Replace From{P}Replace To,No,ABC{P}A{P}B
126,SCROLL_TO,-,Navigates to a specific element to make sure it is in focus,None,Yes,Value not Required
127,SCROLL_TO_AND_CLICK,-,Navigates to a specific element then clicks it,None,Yes,Value not Required
128,SCROLL_TO_AND_DCLICK,-,Navigates to a specific element then double clicks it,None,Yes,Value not Required
129,SELECT,-,Selects an item from a drop down,Item to select,Yes,option
130,SELECT_CALENDAR_DATE,-,Selects a specific date from a pop up calendar,Date{P}update by day{C}month{C}year,Yes,MODIFIED_DATE_Now{P}0{C}0{C}0
131,SELECT_OPTION,-,Selects an item from a drop down;Drop down will close,Item to select,Yes,option
132,SELECT_OPTION_FOUND,-,Checks an item is found in a drop down,Item,Yes,Value not Required
133,SELECT_OPTION_NOT_FOUND,-,Checks an item is not found in a drop down,Item,Yes,Value not Required
134,SELECT_OPTIONS_FOUND,-,Checks an item is found in a drop down,Item,Yes,Value not Required
135,SELECT_SAP_TAB,-,Breaks out of a reusable component,None,No,Value not Required
136,SELECTED,-,Validates that a check box or a radio button are selected,None,Yes,Value not Required
137,SEND_BKEYS,-,Sends keys such as Enter;Tab;Back,Key,No,Enter
138,SEND_ENTER_WHILE_ELEMENT_VISIBLE,-,Sends enter key while an element is visible,None,Yes,Value not Required
139,SEND_KEYS,-,Sends keys such as Enter;Tab;Back,Key,No,Enter
140,SET_CELL_VALUE_BY_COLUMN_VAR,*,Sets a cell value under a specified column name using a specified row index,Column name{P}Row Index{P}Cell Value,Yes,Material{P}1{P}100000244
141,SET_CELL_VALUE_BY_COLUMN_VAR_ENTER,*,Sets a cell value under a specified column name using a specified row index followed by pressing enter,Column name{P}Row Index{P}Cell Value,Yes,Purch. organization{P}1{P}1710
142,SET_FIELD_VALUE_VAR,*,Sets text field value using dynamic field name,Dynamic Field name{P}Set Value,Yes,PO Quantity{P}3
143,SET_GLOBAL_VARIABLE,-,Sets a global value with a user defined value,Parameter name{P}Value,No,Asset ID{P}AT-12345
144,SET_GV,-,Sets a dictionary parameter value,Dictionary parameter name{P}Value,Yes,Application name{P}Vityl
145,SET_INNERHTML,*,Sets an element HTMLlabel inner HTML value,element HTML label,Yes,Hello world
146,SET_PARAM_VALUE,-,Sets a global value with an element value,Parameter name,Yes,Asset ID
147,SET_TEXT,-,Sets Element Text Value,Text,Yes,Text
148,SET_VALUE,-,Sets an element attribute value to a specific text using Java script,Text,Yes,Hello World
149,SINGLE_SELECT,-,Selects an item from a single list element,Item,Yes,one
150,SNAP_SHOT,-,Takes a screen shot and puts it in the report,None,No,Value not Required
151,SNAP_SHOT_ELEMENT,-,Takes a screen shot of a specific element,None,Yes,Value not Required
152,STORE_ELEMENT,*,Collects an element and stores it in a global variable to be used later,None,Yes,Value not Required
153,SUB,-,Waits for an element value not to be empty,None,Yes,Value not Required
154,SWITCH_TO_IFRAME,-,Switches driver to a specific iframe,None,No,
155,SWITCH_TO_PARENT_WINDOW_BACK,-,Updates a string by replacing a portion of it,String{P}Replace From{P}Replace To,No,ABC{P}A{P}B
156,SWITCH_WINDOW_PARENT,-,Switches driver to the parent window,None,No,Value not Required
157,TEXT,-,Enters text to an element text field,Text,Yes,Hello World
158,TEXT_ENTER,-,Enters text to an element text field followed by enter key,Text,Yes,Hello World
159,TEXT_SLOW,-,Enters text to an element text field Slowly,Text,Yes,Hello World
160,TEXT_SLOW_ENTER,-,Enters text to an element text field very slowly then send {Enter},Text,Yes,Hello World
161,TEXT_SLOW_ENTER_TAB,-,Enters text to an element text field very slowly then send {Enter} followed by {tab},Text,Yes,Hello World
162,TEXT_SLOW_SELECT,-,Enters text to an element text field slowly. Then select displayed text,Text,Yes,Hello World
163,TEXT_VERY_SLOW,-,Enters text to an element text field very slowly,Text,Yes,Hello World
164,TEXTING,-,Enters a number of strings delimited by \n,Strings,Yes,String1\nString2\nString3\n...
165,UNCHECK,-,UnChecks a check box,None,Yes,Value not Required
166,VALIDATE_ALERT_MESSAGE,-,Checks an alert message to match expected,Expected alert message,No,Hello World
167,VALIDATE_ATTRIBUTE_VALUE,-,Validates an element attribute value,Attribute name{P}Attribute expected value,Yes,Fruit name{P}Apple
168,VALIDATE_CELL_VALUE,-,Validates a table field value contains an expected value,Column name{P}Row index{P}Expected value,Yes,Asset ID{P}1{P}1234
169,VALIDATE_CELL_VALUE_NOT_EQUAL,-,Validates a table field value does not equal a specific value,Column name{P}Row index{P}Expected value,Yes,Asset ID{P}1{P}1234
170,VALIDATE_COLUMN_CONTENT,-,Validates table column content match a specific value,Column name{P}Expected value,Yes,Site{P}GV_Location
171,VALIDATE_COLUMN_VALUES,-,Checks table column values,Expected matching column value,Yes,Hello World
172,VALIDATE_CURRENT_URL_CONTAINS,*,Checks if current URLs contains a specific text,Expected Text in URL,No,google
173,VALIDATE_FIELD_VALUE_VAR,*,Validates field value matches expected using a dynamic field name,Dynamic Field name{P}Expected value,Yes,PO Qty in SKU{P}60
174,VALIDATE_ROW_COUNT,-,Validates Table row count matches expected,Expected row count,Yes,5
175,VALIDATE_SELECTED_OPTION,-,Checks an option is selected,option,Yes,hello world
176,VALIDATE_TABLE_CONTAINS_VALUE,-,Checks if a value is found under a column,Column Name and to be found value,Yes,Asset ID{P}1234
177,VALIDATE_TABLE_DOESNOT_CONTAIN_VALUE,-,Checks if a value is not found under a column,Column Name{P}value,Yes,Asset ID{P}1234
178,VALIDATE_TEXT,-,Checks element text matches expected text,Expected text,Yes,Hello World
179,VALIDATE_TEXT_CONTAINS,-,Checks element text contains expected text,Expected text,Yes,Hello World
180,VALIDATE_TEXT_IS_EMPTY,-,Checks element text is empty,None,Yes,Value not Required
181,VALIDATE_TEXT_NOT_ON_PAGE,-,Checks a text is not on current page,Text,No,Hello World
182,VALIDATE_TEXT_ON_PAGE,-,Checks a text is on current page,Text,No,Hello World
183,VALIDATE_VALUE,-,Checks element Value matches expected text,Expected text,Yes,Hello World
184,VALIDATE_VALUE_CONTAINS,-,Checks element value contains expected text,Expected text,Yes,Hello World
185,VERIFY_TAB_EXISTS,-,Checks Tab exists,Expected text,No,AIM/Transfer/Requests
186,VERIFY_TAB_EXISTS_VAR,*,Checks a Tab with specific text exists,Tab Text,No,hello world
187,VERIFY_TAB_NOT_EXISTS,-,Checks Tab not exists,Expected text,No,AIM/Transfer/Requests
188,WAIT_BUTTON_DISABLED,-,Waits for a button by text to exit then check it is disabled,Button name,No,Hello world
189,WAIT_BUTTON_SELECTED_STATE_NOT_VISIBLE,-,Waits for a button by state to become invisible,Button name{P}state 0 or 1,No,Requested{P}1
190,WAIT_BUTTON_SELECTED_STATE_VISIBLE,-,Waits for a button by state to become visible,Button name{P}state 0 or 1,No,Requested{P}1
191,WAIT_ELEMENT_EXIST,-,Waits while an element exists,None,Yes,Value not Required
192,WAIT_ELEMENT_NOT_EXIST,-,Waits while an element not exists,None,Yes,Value not Required
193,WAIT_ELEMENT_NOT_VISIBLE,-,Waits for a specific element to become not visible,None,Yes,Value not Required
194,WAIT_ELEMENT_NOT_VISIBLE_VAR,-,Waits for a specific element to become not visible using a variant,Variant,Yes,hello world
195,WAIT_ELEMENT_VALUE_NOT_EMPTY,-,Waits for an element value not to be empty,None,Yes,Value not Required
196,WAIT_ELEMENT_VAR,*,Waits for an element that has a variant value that could be changed run time to exist,Variant value,Yes,Age
197,WAIT_ELEMENT_VISIBLE,-,Waits for an element to be visible using a variant,Variant,Yes,Hello world
198,WAIT_ELEMENT_VISIBLE_VAR,-,Waits for an element to be visible using a variant,Variant,Yes,Hello world
199,WAIT_FOR_ATTRIBUTE_VALUE_VAR,*,Waits for an element attribute value to match expected starting with a variant to locate the element,Element variant value{P}Attribute{P}Expected Attribute Value,Yes,Hello world{P}id{P}firstname
200,WAIT_FOR_BUTTON_BY_TEXT_NOT_EXIST,-,Waits for a button by text not to exist,Button name,No,Hello world
201,WAIT_FOR_BUTTON_BY_TEXT,-,Waits for a button by text to exist,Button name,No,Hello world
202,WAIT_FOR_TABLE_ROW_COUNT,-,Waits for a table to load with least two rows before it proceeds,None,Yes,Value not Required
203,WAIT_FOR_TEXT,-,Waits for an element with a specific text,Text,Yes,Hello World
204,WAIT_FOR_VALUE,-,Waits for a specific value to exist in a text field,Text,Yes,Hello World
205,WAIT_IN_MSEC,-,Waits in milliseconds,Milliseconds,No,5000
206,WAIT_IN_SEC,-,Waits in seconds,Seconds,No,5
207,WAIT_TAB_EXISTS,-,Waits for tab to exist,Tab name,No,AIM/Transfer/Requests
208,WAIT_TAB_NOT_EXISTS,-,Waits for tab not to exist,Tab name,No,AIM/Transfer/Requests
209,WAIT_TO_TEXT_SLOW_ENTER,-,Waits for a specific element to be visible to Enter text into it,Text,Yes,Hello World
210,WAIT_WHILE_ELEMENT_VISIBLE,-,Waits while an element is visible,None,Yes,Value not Required
211,WAIT_FOR_ALERT,*,Waits for an alert message with a specific text,specific alert message,No,Hello world
212,WAITING_FOR_TEXT,-,Waits for a specific text,Text,No,Hello World
